score_rank,code,name,score_total,score_value,score_quality,score_safety,score_pe,score_peg,score_roe,score_gpm,score_dy,score_cet,pe,peg,con_roe,gpm,dy,cetop,exp_g,mv_yi,price,in_gm,weight
105,603568.SH,伟明环保,45.5,34.0,76.8,37.3,44.9,17.6,67.0,91.5,24.7,56.2,17.9,0.86,15.5,50.8,1.2,10.09,14.3,307.9,15.04,True,0.025
106,000997.SZ,新 大 陆,45.5,29.9,61.6,60.5,38.1,17.6,53.4,73.9,35.3,98.3,19.0,0.86,13.5,35.0,1.49,901.59,8.4,209.6,20.88,True,0.025
107,600572.SH,康恩贝,45.4,30.9,49.0,70.8,17.0,51.7,19.9,92.6,83.5,51.7,22.6,0.67,8.8,53.9,3.2,9.17,35.8,112.7,4.51,True,0.025
108,600160.SH,巨化股份,44.6,38.2,78.2,23.7,12.5,76.7,89.8,60.8,18.2,31.8,23.5,0.49,23.1,29.6,0.96,6.41,54.3,1030.0,39.54,True,0.025
109,603596.SH,伯特利,44.5,55.9,58.3,7.9,47.7,68.2,74.4,34.1,2.9,15.3,17.6,0.54,17.1,20.0,0.56,4.23,25.6,230.3,25.9,False,0.025
110,600988.SH,赤峰黄金,44.4,36.7,89.0,15.1,9.7,77.3,94.9,80.1,1.8,35.2,24.8,0.48,26.0,40.6,0.45,7.04,51.4,890.3,48.22,True,0.025
111,605507.SH,国邦医药,44.1,46.2,36.7,47.1,49.4,41.5,29.0,48.3,53.5,37.5,17.0,0.74,10.1,25.2,1.97,7.41,9.7,120.3,15.38,False,0.025
112,600548.SH,深高速,44.0,28.9,26.1,91.9,38.6,14.2,2.3,61.9,95.3,86.9,18.9,0.89,5.3,30.6,4.59,22.12,27.9,209.9,8.23,True,0.025
113,000729.SZ,燕京啤酒,43.8,44.2,58.8,28.2,54.0,29.5,40.3,86.4,19.4,41.5,16.4,0.82,11.7,44.5,1.02,7.79,22.6,323.6,11.48,True,0.025
114,000700.SZ,模塑科技,43.4,33.3,45.0,62.0,31.2,36.4,55.7,29.0,70.0,50.0,20.0,0.76,13.6,18.4,2.44,9.11,24.4,101.0,11.68,False,0.025
115,600031.SH,三一重工,42.7,40.7,42.7,46.9,27.3,60.8,35.2,54.0,36.5,62.5,20.6,0.6,10.8,27.7,1.55,10.98,27.3,1734.2,19.06,True,0.025
116,603713.SH,密尔克卫,42.6,43.1,39.1,45.2,50.6,31.8,60.2,7.4,9.4,98.9,16.8,0.81,14.2,11.2,0.77,1137.69,18.9,110.4,64.22,False,0.025
117,002130.SZ,沃尔核材,42.3,45.2,63.9,14.7,23.9,77.3,63.6,64.2,12.4,18.2,20.9,0.48,15.1,31.2,0.79,4.8,34.2,240.8,17.23,True,0.025
118,688169.SH,石头科技,42.2,50.1,64.5,4.2,29.0,81.8,51.1,84.7,5.9,1.7,20.4,0.46,13.0,42.0,0.64,1.38,47.8,341.5,130.6,True,0.025
119,002832.SZ,比音勒芬,42.0,28.9,64.8,45.6,14.8,50.0,43.2,97.2,58.2,26.7,22.8,0.69,12.0,75.1,2.06,5.71,32.7,137.8,24.03,True,0.025
120,601958.SH,金钼股份,41.8,21.2,78.9,45.8,22.2,19.9,76.1,83.0,70.6,8.5,21.2,0.85,17.5,41.2,2.47,3.11,27.6,743.7,23.39,True,0.025
121,603345.SH,安井食品,41.6,45.9,34.1,40.6,48.9,41.5,29.5,40.9,30.6,55.7,17.1,0.74,10.2,22.2,1.29,9.95,26.1,257.4,77.48,False,0.025
122,603236.SH,XD移远通,41.6,38.0,49.7,40.7,13.6,74.4,65.3,26.1,4.1,95.5,22.9,0.5,15.2,18.0,0.59,188.41,45.1,221.9,56.62,False,0.025
123,000065.SZ,北方国际,41.5,61.7,12.4,30.3,58.5,66.5,9.7,16.5,16.5,51.1,15.7,0.56,7.7,15.2,0.88,9.15,24.8,116.3,9.95,False,0.025
124,300428.SZ,立中集团,40.9,65.2,22.5,10.8,71.6,55.7,34.1,5.1,13.5,6.8,14.0,0.63,10.6,10.0,0.81,2.91,19.0,129.2,19.13,False,0.025
125,603730.SH,岱美股份,40.1,17.0,64.1,62.2,5.7,34.1,72.7,51.1,85.9,26.7,36.0,0.79,16.6,26.0,3.41,5.71,45.5,229.7,10.87,True,0.025
126,600258.SH,首旅酒店,40.0,33.6,35.7,57.2,53.4,4.0,6.8,79.0,34.7,90.9,16.5,0.96,7.2,40.5,1.46,24.4,16.3,138.3,12.37,True,0.025
127,001696.SZ,宗申动力,39.4,30.0,39.9,57.9,8.0,63.1,58.5,11.9,74.1,33.5,28.0,0.58,13.9,13.6,2.63,6.9,30.4,171.2,15.22,False,0.025
128,600754.SH,锦江酒店,39.2,38.1,34.4,46.4,32.4,46.6,6.2,76.7,22.4,82.4,19.8,0.71,7.0,38.7,1.15,18.31,28.9,203.5,19.2,True,0.025
129,600196.SH,复星医药,39.0,38.4,44.5,34.8,44.3,29.5,13.6,90.9,28.8,43.8,18.0,0.82,7.8,50.5,1.25,8.41,17.3,610.5,22.89,True,0.025
130,600395.SH,盘江股份,39.0,25.6,23.3,81.5,7.4,52.8,0.6,57.4,92.4,65.3,30.1,0.65,4.6,28.8,4.08,11.76,55.4,119.8,5.67,True,0.025
131,600089.SH,特变电工,38.8,35.2,21.7,62.9,43.2,23.3,15.3,31.2,74.1,46.0,18.3,0.84,8.0,19.0,2.63,8.58,7.1,973.2,19.36,False,0.025
132,601808.SH,中海油服,38.5,40.2,22.8,50.6,62.5,6.8,21.0,25.6,28.2,84.1,15.2,0.94,9.0,17.6,1.24,19.27,17.0,588.8,12.58,False,0.025
133,600956.SH,新天绿能,38.3,30.5,19.9,72.2,37.5,19.9,9.7,35.2,63.5,85.2,19.1,0.85,7.7,20.4,2.21,20.07,11.8,323.6,7.17,False,0.025
134,002487.SZ,大金重工,38.2,47.6,44.3,13.2,17.6,92.6,27.3,69.9,0.0,33.0,22.5,0.35,9.9,33.4,0.24,6.76,38.4,261.0,35.41,True,0.025
135,002984.SZ,森麒麟,38.1,54.3,24.1,19.6,50.0,60.8,15.9,36.4,19.4,19.9,16.9,0.6,8.1,20.7,1.02,4.9,4.9,147.8,14.13,False,0.025
136,301035.SZ,润丰股份,38.1,32.7,55.9,31.2,25.0,44.3,63.6,44.3,23.5,42.6,20.8,0.72,15.1,23.6,1.17,8.14,22.4,205.8,57.16,False,0.025
