rank,code,name,price,mv_yi,pe,dy,exp_g,peg,con_roe,gpm,cetop,weight,in_gm
162,600141.SH,兴发集团,30.11,363.0,25.2,3.25,35.3,0.76,7.5,18.1,2.27,0.025,False
163,002258.SZ,利尔化学,14.21,113.3,25.7,2.06,36.6,0.56,7.7,17.0,9.36,0.025,False
164,300100.SZ,双林股份,21.76,116.9,27.3,2.12,22.2,0.92,16.0,21.4,5.4,0.025,False
165,001696.SZ,宗申动力,15.1,169.9,27.8,2.63,30.4,0.58,13.9,13.6,6.9,0.025,False
166,002158.SZ,汉钟精机,26.16,138.8,28.2,2.56,29.6,0.86,12.3,33.5,5.45,0.025,True
167,600395.SH,盘江股份,5.51,118.1,29.7,4.08,57.5,0.61,4.7,28.8,11.76,0.025,True
168,601231.SH,环旭电子,26.69,618.7,30.4,2.1,31.6,0.63,10.2,9.5,3.3,0.025,False
169,603730.SH,岱美股份,10.79,227.3,35.7,3.41,45.5,0.78,16.6,26.0,5.71,0.025,True
170,000725.SZ,京东方Ａ,5.76,2130.0,35.8,2.21,42.1,0.64,5.8,15.6,21.28,0.025,False
171,002080.SZ,中材科技,49.6,829.5,40.9,2.75,58.0,0.66,13.0,19.6,3.54,0.025,False
172,000937.SZ,冀中能源,4.92,187.3,46.2,8.75,36.3,0.73,4.2,26.1,10.82,0.025,True
173,002601.SZ,龙佰集团,16.13,366.5,49.2,2.25,26.8,0.57,6.5,18.8,11.47,0.025,False
174,002938.SZ,鹏鼎控股,87.18,2038.3,53.8,2.31,43.6,0.78,14.0,23.6,3.06,0.025,False
175,002597.SZ,金禾实业,20.11,112.3,55.9,2.02,51.8,0.53,6.3,14.3,5.58,0.025,False
176,002304.SZ,洋河股份,39.73,588.3,57.9,3.23,29.2,0.96,5.7,70.8,753.97,0.025,True
177,002416.SZ,爱施德,9.49,115.6,58.0,5.11,8.4,0.98,7.2,5.1,15.53,0.025,False
178,001203.SZ,大中矿业,27.87,427.3,65.5,2.02,59.0,0.4,14.3,46.2,3.14,0.025,True
179,603920.SH,世运电路,37.32,267.7,69.7,2.41,9.2,0.94,10.7,16.7,2.78,0.025,False
180,605168.SH,三人行,46.62,100.1,78.6,2.62,54.8,0.75,9.7,16.4,2.38,0.025,False
181,002913.SZ,奥士康,57.46,182.5,85.6,2.08,52.6,0.79,9.6,20.2,1.7,0.025,False
182,301362.SZ,民爆光电,111.47,168.0,114.8,3.63,58.3,0.68,10.3,27.5,1.21,0.025,True
