rank,code,name,price,mv_yi,pe,dy,exp_g,peg,con_roe,gpm,cetop,weight,in_gm
80,601339.SH,XD百隆东,7.55,116.1,14.1,5.98,51.0,0.43,10.3,14.4,17.33,0.025,False
81,002444.SZ,巨星科技,30.72,361.4,14.1,0.8,15.8,0.75,13.5,33.0,5.11,0.025,True
82,000157.SZ,中联重科,7.09,612.3,14.1,4.07,15.7,0.54,8.9,27.8,8.53,0.025,True
83,600309.SH,万华化学,75.92,2331.9,14.2,1.79,54.1,0.35,15.7,13.5,17.03,0.025,False
84,000425.SZ,徐工机械,8.01,936.9,14.2,2.84,29.8,0.44,12.3,22.6,16.39,0.025,True
85,600177.SH,雅戈尔,7.79,364.8,14.2,3.04,21.2,0.6,6.7,46.2,3.14,0.025,True
86,002701.SZ,奥瑞金,4.79,122.9,14.3,2.54,5.9,0.7,9.9,13.1,21.23,0.025,False
87,603871.SH,嘉友国际,13.52,189.9,14.5,1.97,35.8,0.51,21.9,19.8,6.91,0.025,False
88,601995.SH,中金公司,34.86,1667.8,14.7,0.45,39.1,0.54,9.6,3.8,54.02,0.025,False
89,601878.SH,浙商证券,9.38,426.7,14.8,1.01,24.4,0.96,7.7,3.8,11.5,0.025,False
90,601799.SH,星宇股份,81.86,246.7,14.9,0.77,14.5,0.47,14.2,19.7,9.73,0.025,False
91,600415.SH,小商品城,12.28,675.0,15.0,1.63,18.5,0.79,19.9,31.2,16.5,0.025,True
92,002563.SZ,森马服饰,5.88,158.1,15.1,4.26,23.2,0.87,9.1,45.6,14.24,0.025,True
93,002895.SZ,川恒股份,33.02,194.4,15.1,3.18,19.6,0.68,18.1,29.1,4.72,0.025,True
94,601808.SH,中海油服,12.58,588.8,15.2,1.24,17.0,0.94,9.0,17.6,19.27,0.025,False
95,603338.SH,浙江鼎力,57.8,291.6,15.2,1.59,10.3,0.87,15.5,32.8,5.7,0.025,True
96,603233.SH,大参林,17.72,207.8,15.2,2.08,20.1,0.84,17.9,34.6,22.31,0.025,True
97,002847.SZ,盐津铺子,45.12,122.1,15.2,1.34,14.1,0.86,33.8,31.7,8.95,0.025,True
98,600801.SH,华新建材,23.94,496.5,15.3,3.68,28.2,0.53,10.2,31.2,16.05,0.025,True
99,603486.SH,科沃斯,53.03,311.2,15.4,0.92,23.4,0.73,19.5,47.8,7.64,0.025,True
100,300181.SZ,佐力药业,14.21,100.0,15.4,2.8,28.2,0.47,20.1,62.4,5.63,0.025,True
101,600021.SH,上海电力,13.76,387.2,15.5,1.94,24.4,0.84,9.2,24.9,34.49,0.025,True
102,601066.SH,中信建投,25.78,1960.1,15.6,0.89,35.4,0.84,9.8,3.3,42.99,0.025,False
103,002043.SZ,兔 宝 宝,13.0,106.4,15.6,3.77,11.7,0.97,20.5,16.7,9.0,0.025,False
104,600216.SH,浙江医药,13.01,125.8,15.6,1.96,21.1,0.75,8.7,32.5,12.55,0.025,True
105,000065.SZ,北方国际,9.95,116.3,15.7,0.88,24.8,0.56,7.7,15.2,9.15,0.025,False
106,601225.SH,陕西煤业,27.0,2554.6,15.8,4.16,22.7,0.97,17.4,28.2,15.28,0.025,True
107,600116.SH,三峡水利,6.31,121.2,15.8,1.19,39.9,0.93,5.2,12.7,9.19,0.025,False
108,601330.SH,绿色动力,7.07,101.3,15.8,1.81,21.8,0.85,8.3,47.8,18.36,0.025,True
109,601966.SH,玲珑轮胎,11.08,166.0,15.9,0.77,37.8,0.28,7.6,17.5,17.92,0.025,False
110,600166.SH,福田汽车,2.95,229.6,16.1,,51.0,0.29,11.7,10.0,5.72,0.025,False
111,002517.SZ,恺英网络,16.65,352.1,16.3,0.85,40.7,0.48,21.9,80.2,6.42,0.025,True
112,002602.SZ,世纪华通,13.92,1028.2,16.4,,60.0,0.29,22.9,70.6,8.99,0.025,True
113,000729.SZ,燕京啤酒,11.48,323.6,16.4,1.02,22.6,0.82,11.7,44.5,7.79,0.025,True
114,600258.SH,首旅酒店,12.37,138.3,16.5,1.46,16.3,0.96,7.2,40.5,24.4,0.025,True
115,600428.SH,中远海特,10.98,305.9,16.6,2.9,50.7,0.38,13.8,21.1,22.18,0.025,False
116,603379.SH,三美股份,59.76,358.3,16.8,0.78,21.8,0.62,25.3,52.0,6.04,0.025,True
117,600361.SH,创新新材,3.7,141.8,16.8,1.72,51.6,0.29,9.7,3.2,3.96,0.025,False
118,603713.SH,密尔克卫,64.22,110.4,16.8,0.77,18.9,0.81,14.2,11.2,1137.69,0.025,False
119,603733.SH,仙鹤股份,21.71,172.9,16.8,1.76,28.1,0.52,12.9,13.8,7.26,0.025,False
120,002984.SZ,森麒麟,14.13,147.8,16.9,1.02,4.9,0.6,8.1,20.7,4.9,0.025,False
121,605507.SH,国邦医药,15.38,120.3,17.0,1.97,9.7,0.74,10.1,25.2,7.41,0.025,True
122,603345.SH,安井食品,77.48,257.4,17.1,1.29,26.1,0.74,10.2,22.2,9.95,0.025,False
123,600486.SH,扬农化工,55.08,218.8,17.2,1.07,13.9,0.86,11.6,21.2,10.57,0.025,False
124,603596.SH,伯特利,25.9,230.3,17.6,0.56,25.6,0.54,17.1,20.0,4.23,0.025,False
125,300628.SZ,亿联网络,39.87,510.3,17.7,2.01,20.5,0.84,29.0,63.4,3.38,0.025,True
126,603979.SH,金诚信,80.35,503.5,17.7,0.58,50.9,0.42,24.7,34.4,10.21,0.025,True
127,002946.SZ,新乳业,15.33,139.3,17.8,0.82,20.8,0.83,19.1,29.3,12.01,0.025,True
128,603568.SH,伟明环保,15.04,307.9,17.9,1.2,14.3,0.86,15.5,50.8,10.09,0.025,True
